FamilyID	50390_0<1>	7539_0<2>	217634_0<3>	7048_0<4>	77166_0<5>	116153_0<6>	115357_0<7>	41139_0<8>	41895_0<9>	7070_0<10>	110193_0<11>	1629725_0<12>	166361_0<13>	224129_0<14>	7054_0<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>
10006at7041	0.00441025	0.5785	0.0561004	0.567851	0.567851	0.629592	0.545064	0.545064	0.513756	0.513756	0.660118	0.192536	0.0129558	0.173633	0.064173	N/A	0.503208	0.554025	0.512226	0.519045	0.514664	0.52749	0.528588	0.564945	0.610853	0.640587	0.53643	0.550543	0.00202142
10010at7041	0.117826	0.0426835	0.60054	0.535827	0.535827	0.629592	0.0236098	0.545064	0.0206342	0.513756	0.241028	0.192536	0.0129558	0.226315	0.00125795	N/A	0.503208	0.554025	0.512226	0.519045	0.514664	0.52749	0.528588	0.0974584	0.610853	0.640587	0.53643	0.550543	0.554328
10105at7041	3.8998e-05	0.541838	0.554667	2.42672e-05	0.535827	0.572473	0.523343	0.523343	0.50695	0.50695	0.592456	0.571531	0.571531	0.585954	0.0446375	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
10127at7041	0.541838	0.0213369	0.554667	0.0182222	0.535827	0.572473	0.523343	0.523343	0.50695	0.50695	0.592456	0.105917	0.0369402	0.585954	0.0446375	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
10220at7041	0.541838	0.0213369	0.554667	0.535827	0.000664983	0.000212341	0.523343	0.523343	0.50695	0.50695	0.0481298	0.571531	0.571531	0.585954	0.0446375	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
10231at7041	0.0638525	0.610696	0.211192	0.145793	0.596518	0.674947	0.545064	0.545064	0.52042	0.52042	0.0456123	0.192536	0.628099	0.00101083	0.0397718	N/A	0.5048	0.577714	0.518171	0.528158	0.521753	0.540379	0.541956	0.592603	0.231188	0.687947	0.55314	0.109902	0.578131
10247at7041	0.541838	0.0213369	0.554667	0.535827	0.535827	0.572473	1.09629e-14	0.0676096	0.50695	0.50695	0.136323	0.571531	0.571531	0.585954	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.0312956	0.579508	0.518739	0.5263	0.528359
10261at7041	0.541838	0.541838	0.554667	0.000664983	0.535827	0.572473	0.0118045	0.523343	0.513756	0.513756	0.592456	0.105917	0.571531	0.585954	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.0411888	0.518739	0.5263	0.528359
10268at7041	0.000912192	0.541838	0.554667	0.0182222	0.535827	0.572473	0.523343	0.523343	0.50695	0.00348711	0.592456	0.571531	0.0369402	0.585954	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
10337at7041	0.639032	0.639032	0.00578487	0.567851	0.567851	0.266757	0.12726	0.047099	0.0139452	0.0405161	0.0035218	0.41529	0.0871936	5.63289e-07	9.01113e-06	N/A	0.509531	0.00627859	0.524006	0.055699	0.521753	0.540379	0.0220691	0.139828	0.686344	0.72504	0.597966	0.630282	0.63846
10514at7041	0.105116	2.03907e-05	0.000288703	0.567851	0.567851	0.000231449	0.584131	0.0018	0.54573	0.0016083	0.0183685	0.000528144	0.673159	0.0413924	0.000479238	N/A	0.507962	0.619437	0.529734	0.545608	0.535465	0.564578	0.566989	0.000267428	0.333804	0.0791951	0.00186396	0.572908	0.620024
10559at7041	0.0426835	0.5785	0.15098	0.101823	4.17308e-06	0.194791	0.0676096	0.545064	0.50695	0.50695	0.660118	0.192536	0.628099	0.650423	0.226315	N/A	0.503208	0.554025	0.512226	0.519045	0.514664	0.52749	0.528588	0.564945	0.610853	0.211416	0.53643	0.550543	0.554328
10588at7041	0.5785	0.5785	0.15098	0.596518	0.596518	0.572473	0.000278846	0.523343	0.50695	0.50695	0.000454511	0.105917	0.571531	0.585954	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.00372065	0.52749	0.528588	0.0347752	0.560865	0.579508	0.518739	0.5263	0.528359
10589at7041	0.0426835	0.5785	0.0561004	0.535827	0.535827	0.00421846	0.545064	0.545064	0.513756	5.84962e-09	0.241028	0.192536	0.0739673	0.0894601	0.226315	N/A	0.503208	0.554025	0.512226	0.519045	0.514664	0.52749	0.528588	0.0974584	0.610853	0.640587	0.53643	0.550543	0.554328
10590at7041	0.541838	0.541838	0.554667	0.535827	2.42672e-05	0.572473	0.523343	0.523343	0.50695	0.00348711	0.592456	0.105917	0.571531	0.0446375	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
1060at7041	0.5785	0.117826	0.0561004	0.535827	0.535827	0.629592	0.523343	0.523343	0.0206342	0.513756	0.592456	0.105917	0.571531	0.226315	0.0187504	N/A	0.503208	0.554025	0.512226	0.519045	0.514664	0.52749	0.528588	0.0974584	0.166515	0.640587	0.0546523	0.5263	0.554328
10625at7041	0.5785	0.117826	0.15098	0.567851	0.101823	0.194791	0.0676096	0.545064	0.0206342	0.513756	0.241028	0.192536	0.0739673	0.0894601	0.650423	N/A	0.503208	0.554025	0.512226	0.519045	0.514664	0.52749	0.528588	0.564945	0.610853	0.640587	0.53643	0.550543	0.554328
10674at7041	0.0426835	0.5785	0.554667	0.535827	0.535827	0.0374408	0.523343	0.523343	0.50695	0.50695	0.592456	0.571531	0.571531	0.650423	0.0187504	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.00735884	0.534207	0.560865	0.579508	0.518739	0.5263	0.0143744
10680at7041	0.664028	0.664028	0.0415874	0.596518	0.145793	0.674947	0.035384	0.565289	0.526947	0.00052168	0.660118	0.192536	0.0129558	0.226315	0.650423	N/A	0.503208	0.0285807	0.518171	0.528158	0.521753	0.0011631	0.566989	0.592603	0.652111	0.122632	0.53643	0.550543	0.554328
1070at7041	0.0213369	0.541838	0.554667	0.000664983	0.535827	0.572473	0.523343	0.0118045	0.50695	0.50695	0.241028	0.628099	0.628099	0.0894601	0.226315	N/A	0.503208	0.0810597	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.53643	0.550543	0.554328
10740at7041	0.541838	0.541838	0.554667	0.535827	0.535827	0.572473	0.523343	0.523343	0.50695	0.00348711	0.592456	0.571531	0.0369402	0.585954	3.25453e-05	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
10778at7041	0.5785	0.117826	0.60054	0.101823	0.567851	0.194791	0.523343	0.523343	0.50695	0.50695	0.660118	0.00409085	0.628099	0.226315	0.00125795	N/A	0.503208	0.554025	0.512226	0.519045	0.514664	0.52749	0.528588	0.564945	0.166515	0.211416	0.53643	0.550543	0.554328
10780at7041	0.541838	0.0213369	0.554667	0.535827	0.000664983	0.0374408	0.523343	0.523343	0.50695	0.50695	0.592456	0.571531	0.0369402	0.585954	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
10886at7041	0.541838	0.541838	0.0561004	0.101823	0.0364496	0.194791	0.0676096	0.545064	0.00697424	0.513756	0.241028	0.192536	0.628099	0.650423	0.0894601	N/A	0.503208	0.554025	0.512226	0.519045	0.514664	0.52749	0.0428846	0.564945	0.610853	0.640587	0.53643	0.550543	0.554328
10898at7041	0.00998214	0.610696	0.60054	0.567851	9.18246e-05	0.572473	0.523343	0.523343	0.50695	0.50695	0.136323	0.00274431	0.571531	0.000361598	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.00372065	0.52749	0.0147178	0.564945	0.560865	0.579508	0.518739	0.5263	0.528359
1097at7041	0.211884	0.0846998	0.110752	0.0545651	0.596518	0.674947	0.545064	0.545064	0.52042	0.52042	0.660118	0.628099	0.628099	2.9821e-09	0.736876	N/A	0.5048	0.577714	0.518171	0.528158	0.521753	0.0211977	0.554747	0.592603	0.231188	0.687947	0.0799818	0.550543	0.0430715
11001at7041	0.541838	0.541838	0.554667	0.0182222	0.535827	6.82988e-09	0.523343	0.523343	0.50695	0.50695	0.592456	0.571531	0.571531	0.585954	0.0446375	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
11032at7041	0.541838	0.0213369	0.001577	0.535827	0.535827	0.0374408	0.523343	0.523343	0.50695	0.50695	0.592456	0.105917	0.571531	0.00401757	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
11041at7041	0.0213369	0.541838	0.554667	0.535827	0.535827	0.0374408	0.0118045	0.523343	0.00348711	0.50695	0.592456	0.571531	0.571531	0.585954	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.514613	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
11053at7041	0.5785	0.00441025	0.554667	0.535827	0.535827	0.0374408	0.523343	0.523343	0.50695	0.50695	0.592456	0.571531	0.571531	0.585954	0.0446375	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.00735884	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
11122at7041	0.00998214	0.610696	0.0837712	0.567851	0.0364496	0.572473	0.523343	0.523343	0.50695	0.50695	0.592456	0.0369402	0.571531	0.585954	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.00372065	0.0141363	0.541956	0.564945	0.560865	0.579508	0.518739	0.5263	0.528359
11265at7041	0.5785	0.5785	0.554667	0.535827	0.535827	0.572473	0.0118045	0.523343	0.00348711	0.50695	0.592456	0.105917	0.571531	0.0446375	0.585954	N/A	0.501608	0.528193	0.50617	0.509662	0.507414	0.514039	0.00735884	0.534207	0.560865	0.579508	0.518739	0.5263	0.528359
11394at7041	0.000420732	0.610696	0.211192	0.00737531	0.596518	0.266757	0.565289	0.0983571	0.513756	0.513756	0.322654	0.673159	0.673159	0.305169	0.0397718	N/A	0.5048	0.577714	0.518171	0.528158	0.521753	0.540379	0.541956	0.592603	0.652111	0.287176	0.55314	0.572908	0.578131
11461at7041	0.0454909	0.705723	0.699629	0.567851	0.101823	0.0107373	0.545064	0.545064	0.533338	0.000821314	0.0183685	0.0280805	0.000528144	0.0156387	9.78239e-15	N/A	0.5048	0.577714	0.518171	0.528158	0.521753	0.0011631	0.00351636	0.139828	0.231188	0.0343266	0.55314	0.572908	0.578131
