#FamilyID	Likelihood of Family
10000at7041	-7.30888
10006at7041	-31.1796
10007at7041	-15.3537
10008at7041	-7.30888
1000at7041	-7.30888
10010at7041	-38.1718
10018at7041	-14.632
1001at7041	-7.30888
10021at7041	-7.30888
10023at7041	-15.8728
10025at7041	-15.3066
10026at7041	-7.30888
10027at7041	-9.75461
10031at7041	-18.2058
10037at7041	-7.30888
10038at7041	-9.75461
1003at7041	-16.1907
10041at7041	-7.30888
10044at7041	-13.6765
10050at7041	-9.75461
10053at7041	-13.3023
10066at7041	-14.3092
10067at7041	-9.67023
10068at7041	-7.30888
10074at7041	-16.5497
10077at7041	-16.9223
10078at7041	-9.67023
10079at7041	-13.5548
10086at7041	-12.116
10095at7041	-7.30888
100at7041	-12.0757
10100at7041	-7.30888
10103at7041	-17.4211
10105at7041	-28.761
10106at7041	-14.1884
10108at7041	-13.8049
1011at7041	-10.3739
10122at7041	-9.67023
10124at7041	-9.75461
10125at7041	-15.6833
10127at7041	-21.0578
10129at7041	-7.30888
10132at7041	-9.89288
10135at7041	-12.116
10139at7041	-7.30888
10152at7041	-10.5564
10154at7041	-20.5677
10155at7041	-12.116
10157at7041	-7.30888
1015at7041	-15.2832
10160at7041	-18.3284
10161at7041	-12.7353
10162at7041	-10.5453
10167at7041	-18.9089
10169at7041	-9.75461
1016at7041	-12.0998
10170at7041	-10.4317
10174at7041	-11.9897
10181at7041	-7.30888
10186at7041	-10.5564
1018at7041	-11.0067
10201at7041	-13.0021
10206at7041	-13.6765
10208at7041	-9.67023
10212at7041	-15.8483
10213at7041	-12.116
1021at7041	-12.9178
10220at7041	-29.1182
10225at7041	-10.5564
10228at7041	-15.6833
10231at7041	-34.8336
10233at7041	-7.30888
10238at7041	-9.75461
1023at7041	-7.30888
10241at7041	-10.1783
10244at7041	-9.89288
10247at7041	-48.9813
10252at7041	-19.1441
10256at7041	-9.52863
10257at7041	-9.52863
10261at7041	-22.3785
10266at7041	-12.2196
10268at7041	-24.159
10270at7041	-9.67023
1027at7041	-9.75461
10280at7041	-12.4769
10281at7041	-13.7318
10282at7041	-7.30888
10283at7041	-9.52863
10284at7041	-19.7585
10287at7041	-9.85827
10288at7041	-7.30888
1028at7041	-15.3635
10290at7041	-12.3386
102at7041	-7.30888
10301at7041	-9.82121
10302at7041	-7.30888
1030at7041	-9.67023
10310at7041	-12.1126
10311at7041	-12.7931
10315at7041	-9.75461
10319at7041	-9.67023
10325at7041	-9.85827
10334at7041	-16.2002
10337at7041	-73.025
10338at7041	-12.0998
10340at7041	-7.30888
10346at7041	-9.89288
10347at7041	-16.1222
10349at7041	-10.3739
10353at7041	-13.5561
10356at7041	-12.5397
10359at7041	-18.1058
10372at7041	-9.75461
10376at7041	-7.30888
10380at7041	-7.30888
10382at7041	-12.9066
10384at7041	-10.9409
10388at7041	-12.1222
1038at7041	-12.3386
10391at7041	-9.89288
10394at7041	-12.7931
10395at7041	-9.75461
10397at7041	-9.67023
10399at7041	-9.67023
10405at7041	-9.67023
10407at7041	-14.9015
10408at7041	-12.7353
10409at7041	-7.30888
1040at7041	-9.89288
10410at7041	-10.5453
10413at7041	-9.75461
10415at7041	-10.5453
10419at7041	-7.30888
10421at7041	-15.5658
10424at7041	-16.7956
10425at7041	-18.7565
10426at7041	-17.7559
10434at7041	-12.6551
10435at7041	-19.4769
10436at7041	-16.5497
10440at7041	-9.75461
10443at7041	-9.67023
10445at7041	-9.67023
10447at7041	-10.4317
1044at7041	-12.8775
10450at7041	-12.0321
10455at7041	-9.67023
10458at7041	-10.1783
10463at7041	-7.30888
10464at7041	-10.9409
10468at7041	-13.0947
10469at7041	-14.4371
1046at7041	-20.2201
10471at7041	-10.5564
10473at7041	-12.078
10474at7041	-12.6515
10477at7041	-9.67023
1047at7041	-9.75461
10483at7041	-12.2604
10484at7041	-9.52863
10485at7041	-12.116
10492at7041	-7.30888
10495at7041	-21.1204
10496at7041	-23.4874
10498at7041	-7.30888
104at7041	-9.85827
10500at7041	-9.85827
10504at7041	-9.75461
10507at7041	-12.7931
10510at7041	-9.75461
10514at7041	-87.7112
10521at7041	-9.75461
10526at7041	-17.284
10527at7041	-15.3425
10528at7041	-7.30888
10531at7041	-12.2196
10533at7041	-26.3255
10534at7041	-11.0067
10535at7041	-15.4953
10538at7041	-12.8775
10539at7041	-12.2542
10540at7041	-10.8623
10543at7041	-7.30888
10545at7041	-18.4559
