#FamilyID	pvalue	Significant at 0.05
10000at7041	0.999	n
10006at7041	0.019	y
10007at7041	0.249	n
10008at7041	0.999	n
1000at7041	0.999	n
10010at7041	0	y
10018at7041	0.305	n
1001at7041	0.999	n
10021at7041	0.999	n
10023at7041	0.22	n
10025at7041	0.254	n
10026at7041	0.999	n
10027at7041	0.79	n
10031at7041	0.184	n
10037at7041	0.999	n
10038at7041	0.79	n
1003at7041	0.202	n
10041at7041	0.999	n
10044at7041	0.368	n
10050at7041	0.79	n
10053at7041	0.45	n
10066at7041	0.605	n
10067at7041	0.823	n
10068at7041	0.999	n
10074at7041	0.186	n
10077at7041	0.172	n
10078at7041	0.823	n
10079at7041	0.382	n
10086at7041	0.577	n
10095at7041	0.999	n
100at7041	0.572	n
10100at7041	0.999	n
10103at7041	0.153	n
10105at7041	0.001	y
10106at7041	0.34	n
10108at7041	0.361	n
1011at7041	0.7	n
10122at7041	0.823	n
10124at7041	0.79	n
10125at7041	0.229	n
10127at7041	0.053	n
10129at7041	0.999	n
10132at7041	0.741	n
10135at7041	0.577	n
10139at7041	0.999	n
10152at7041	0.657	n
10154at7041	0.092	n
10155at7041	0.577	n
10157at7041	0.999	n
1015at7041	0.256	n
10160at7041	0.154	n
10161at7041	0.505	n
10162at7041	0.665	n
10167at7041	0.168	n
10169at7041	0.79	n
1016at7041	0.581	n
10170at7041	0.679	n
10174at7041	0.787	n
10181at7041	0.999	n
10186at7041	0.657	n
1018at7041	0.639	n
10201at7041	0.438	n
10206at7041	0.368	n
10208at7041	0.823	n
10212at7041	0.218	n
10213at7041	0.577	n
1021at7041	0.479	n
10220at7041	0.002	y
10225at7041	0.657	n
10228at7041	0.229	n
10231at7041	0.003	y
10233at7041	0.999	n
10238at7041	0.79	n
1023at7041	0.999	n
10241at7041	0.721	n
10244at7041	0.741	n
10247at7041	0	y
10252at7041	0.329	n
10256at7041	0.883	n
10257at7041	0.883	n
10261at7041	0.021	y
10266at7041	0.699	n
10268at7041	0.012	y
10270at7041	0.823	n
1027at7041	0.79	n
10280at7041	0.509	n
10281at7041	0.683	n
10282at7041	0.999	n
10283at7041	0.883	n
10284at7041	0.069	n
10287at7041	0.753	n
10288at7041	0.999	n
1028at7041	0.249	n
10290at7041	0.524	n
102at7041	0.999	n
10301at7041	0.768	n
10302at7041	0.999	n
1030at7041	0.823	n
10310at7041	0.565	n
10311at7041	0.495	n
10315at7041	0.79	n
10319at7041	0.823	n
10325at7041	0.753	n
10334at7041	0.202	n
10337at7041	0	y
10338at7041	0.581	n
10340at7041	0.999	n
10346at7041	0.741	n
10347at7041	0.204	n
10349at7041	0.7	n
10353at7041	0.38	n
10356at7041	0.521	n
10359at7041	0.121	n
10372at7041	0.79	n
10376at7041	0.999	n
10380at7041	0.999	n
10382at7041	0.481	n
10384at7041	0.642	n
10388at7041	0.56	n
1038at7041	0.524	n
10391at7041	0.741	n
10394at7041	0.495	n
10395at7041	0.79	n
10397at7041	0.823	n
10399at7041	0.823	n
10405at7041	0.823	n
10407at7041	0.362	n
10408at7041	0.505	n
10409at7041	0.999	n
1040at7041	0.741	n
10410at7041	0.665	n
10413at7041	0.79	n
10415at7041	0.665	n
10419at7041	0.999	n
10421at7041	0.236	n
10424at7041	0.178	n
10425at7041	0.089	n
10426at7041	0.133	n
10434at7041	0.493	n
10435at7041	0.072	n
10436at7041	0.186	n
10440at7041	0.79	n
10443at7041	0.823	n
10445at7041	0.823	n
10447at7041	0.679	n
1044at7041	0.459	n
10450at7041	0.646	n
10455at7041	0.823	n
10458at7041	0.721	n
10463at7041	0.999	n
10464at7041	0.642	n
10468at7041	0.426	n
10469at7041	0.509	n
1046at7041	0.234	n
10471at7041	0.657	n
10473at7041	0.57	n
10474at7041	0.494	n
10477at7041	0.823	n
1047at7041	0.79	n
10483at7041	0.537	n
10484at7041	0.883	n
10485at7041	0.577	n
10492at7041	0.999	n
10495at7041	0.067	n
10496at7041	0.111	n
10498at7041	0.999	n
104at7041	0.753	n
10500at7041	0.753	n
10504at7041	0.79	n
10507at7041	0.495	n
10510at7041	0.79	n
10514at7041	0	y
10521at7041	0.79	n
10526at7041	0.16	n
10527at7041	0.379	n
10528at7041	0.999	n
10531at7041	0.699	n
10533at7041	0.09	n
10534at7041	0.639	n
10535at7041	0.244	n
10538at7041	0.459	n
10539at7041	0.566	n
10540at7041	0.915	n
10543at7041	0.999	n
10545at7041	0.168	n
10549at7041	0.999	n
10558at7041	0.436	n
10559at7041	0	y
10562at7041	0.79	n
10563at7041	0.823	n
10565at7041	0.999	n
10572at7041	0.999	n
10573at7041	0.999	n
10574at7041	0.741	n
10580at7041	0.883	n
10582at7041	0.368	n
10583at7041	0.999	n
10588at7041	0	y
10589at7041	0	y
10590at7041	0.001	y
10596at7041	0.085	n
105at7041	0.79	n
10601at7041	0.801	n
10606at7041	0.368	n
10607at7041	0.426	n
1060at7041	0.001	y
10612at7041	0.999	n
1061at7041	0.438	n
10622at7041	0.79	n
10625at7041	0.003	y
10629at7041	0.1	n
10633at7041	0.1	n
10636at7041	0.537	n
10637at7041	0.479	n
10638at7041	0.841	n
10643at7041	0.679	n
10648at7041	0.999	n
10652at7041	0.657	n
10653at7041	0.915	n
1065at7041	0.224	n
10662at7041	0.34	n
10666at7041	0.999	n
10667at7041	0.999	n
10668at7041	0.154	n
1066at7041	0.999	n
10672at7041	0.639	n
10674at7041	0.048	y
10680at7041	0	y
10684at7041	0.109	n
10688at7041	0.512	n
10695at7041	0.999	n
106at7041	0.072	n
10700at7041	0.386	n
10708at7041	0.265	n
1070at7041	0.005	y
10711at7041	0.446	n
10712at7041	0.566	n
10721at7041	0.999	n
10723at7041	0.699	n
10725at7041	0.883	n
10726at7041	0.999	n
1072at7041	0.679	n
10731at7041	0.999	n
10735at7041	0.479	n
10737at7041	0.382	n
10740at7041	0.035	y
10742at7041	0.361	n
10743at7041	0.566	n
10745at7041	0.665	n
10746at7041	0.505	n
10759at7041	0.999	n
10762at7041	0.737	n
10766at7041	0.999	n
10771at7041	0.999	n
10773at7041	0.999	n
10778at7041	0.003	y
10780at7041	0.027	y
10783at7041	0.823	n
1078at7041	0.999	n
10804at7041	0.329	n
10808at7041	0.481	n
10811at7041	0.479	n
10822at7041	0.823	n
10824at7041	0.79	n
10825at7041	0.389	n
10826at7041	0.999	n
10827at7041	0.79	n
10829at7041	0.823	n
1082at7041	0.121	n
10830at7041	0.999	n
10836at7041	0.79	n
10838at7041	0.56	n
1083at7041	0.999	n
10841at7041	0.2	n
1084at7041	0.999	n
10858at7041	0.999	n
10866at7041	0.577	n
10870at7041	0.459	n
10873at7041	0.999	n
10886at7041	0	y
10888at7041	0.21	n
10893at7041	0.999	n
10895at7041	0.214	n
10896at7041	0.999	n
10898at7041	0	y
10899at7041	0.999	n
108at7041	0.237	n
10905at7041	0.198	n
10908at7041	0.368	n
10909at7041	0.577	n
1090at7041	0.883	n
10912at7041	0.999	n
10916at7041	0.7	n
10919at7041	0.639	n
1091at7041	0.535	n
10921at7041	0.79	n
10929at7041	0.753	n
10930at7041	0.79	n
10932at7041	0.721	n
10933at7041	0.401	n
10935at7041	0.823	n
10936at7041	0.79	n
10939at7041	0.646	n
10947at7041	0.389	n
10948at7041	0.999	n
10958at7041	0.459	n
10960at7041	0.524	n
10966at7041	0.999	n
10967at7041	0.509	n
10968at7041	0.178	n
10976at7041	0.395	n
1097at7041	0	y
10982at7041	0.999	n
10983at7041	0.79	n
10984at7041	0.121	n
10985at7041	0.512	n
10987at7041	0.657	n
1098at7041	0.79	n
10991at7041	0.144	n
10992at7041	0.153	n
10996at7041	0.699	n
10999at7041	0.999	n
109at7041	0.252	n
11001at7041	0.001	y
11003at7041	0.443	n
11006at7041	0.679	n
11008at7041	0.626	n
11009at7041	0.999	n
11011at7041	0.444	n
11013at7041	0.841	n
11014at7041	0.422	n
11015at7041	0.479	n
11017at7041	0.999	n
11018at7041	0.626	n
11019at7041	0.657	n
11020at7041	0.577	n
11021at7041	0.741	n
11026at7041	0.79	n
11027at7041	0.999	n
1102at7041	0.741	n
11030at7041	0.898	n
11031at7041	0.79	n
11032at7041	0.014	y
11033at7041	0.741	n
11036at7041	0.823	n
11038at7041	0.212	n
11039at7041	0.665	n
11041at7041	0.036	y
11043at7041	0.79	n
11046at7041	0.389	n
11047at7041	0.999	n
11051at7041	0.438	n
11053at7041	0.038	y
11054at7041	0.787	n
11055at7041	0.823	n
11057at7041	0.468	n
1105at7041	0.072	n
11062at7041	0.45	n
11064at7041	0.258	n
11070at7041	0.246	n
11076at7041	0.072	n
11077at7041	0.468	n
11084at7041	0.823	n
11085at7041	0.823	n
11087at7041	0.79	n
11088at7041	0.753	n
11092at7041	0.577	n
11094at7041	0.657	n
11096at7041	0.24	n
11097at7041	0.234	n
11106at7041	0.495	n
11107at7041	0.566	n
11109at7041	0.125	n
1110at7041	0.999	n
11115at7041	0.79	n
11121at7041	0.823	n
11122at7041	0.001	y
11123at7041	0.841	n
11124at7041	0.332	n
11125at7041	0.999	n
11129at7041	0.263	n
11131at7041	0.999	n
11138at7041	0.495	n
11144at7041	0.207	n
11146at7041	0.823	n
11151at7041	0.411	n
11153at7041	0.999	n
11155at7041	0.438	n
11157at7041	0.56	n
11159at7041	0.999	n
11162at7041	0.79	n
11163at7041	0.102	n
11171at7041	0.626	n
11173at7041	0.399	n
11182at7041	0.577	n
11183at7041	0.79	n
11191at7041	0.679	n
11199at7041	0.679	n
11200at7041	0.525	n
11201at7041	0.495	n
11205at7041	0.062	n
11208at7041	0.252	n
11211at7041	0.116	n
11213at7041	0.125	n
11215at7041	0.823	n
11219at7041	0.114	n
1121at7041	0.999	n
11220at7041	0.823	n
11221at7041	0.79	n
11226at7041	0.741	n
11229at7041	0.999	n
1122at7041	0.189	n
11232at7041	0.999	n
11237at7041	0.741	n
11241at7041	0.79	n
11243at7041	0.999	n
11244at7041	0.823	n
11249at7041	0.509	n
11253at7041	0.679	n
11255at7041	0.801	n
11260at7041	0.841	n
11262at7041	0.79	n
11265at7041	0.01	y
11267at7041	0.368	n
11268at7041	0.768	n
11270at7041	0.376	n
11271at7041	0.679	n
11275at7041	0.883	n
11283at7041	0.999	n
11285at7041	0.361	n
11286at7041	0.221	n
11288at7041	0.468	n
11294at7041	0.248	n
11298at7041	0.79	n
112at7041	0.999	n
11303at7041	0.7	n
11304at7041	0.212	n
11305at7041	0.566	n
11306at7041	0.495	n
11309at7041	0.395	n
11312at7041	0.79	n
11313at7041	0.422	n
11314at7041	0.883	n
11315at7041	0.642	n
11317at7041	0.657	n
1131at7041	0.34	n
11320at7041	0.103	n
11322at7041	0.512	n
11324at7041	0.679	n
11327at7041	0.999	n
11330at7041	0.256	n
11333at7041	0.999	n
11335at7041	0.999	n
11336at7041	0.067	n
11339at7041	0.999	n
11341at7041	0.823	n
11342at7041	0.479	n
11345at7041	0.479	n
11348at7041	0.699	n
11355at7041	0.79	n
11357at7041	0.999	n
11359at7041	0.189	n
1135at7041	0.373	n
11361at7041	0.679	n
11364at7041	0.34	n
11365at7041	0.79	n
11366at7041	0.999	n
1136at7041	0.79	n
11375at7041	0.999	n
11377at7041	0.79	n
11380at7041	0.412	n
11382at7041	0.79	n
11388at7041	0.318	n
1138at7041	0.646	n
11391at7041	0.679	n
11392at7041	0.19	n
11393at7041	0.79	n
11394at7041	0.003	y
1139at7041	0.999	n
11400at7041	0.915	n
11402at7041	0.13	n
11404at7041	0.999	n
1140at7041	0.657	n
11413at7041	0.397	n
11414at7041	0.414	n
11417at7041	0.438	n
11419at7041	0.999	n
11423at7041	0.084	n
11424at7041	0.524	n
11426at7041	0.823	n
11427at7041	0.223	n
11429at7041	0.136	n
11432at7041	0.999	n
11433at7041	0.79	n
11434at7041	0.479	n
11435at7041	0.699	n
11436at7041	0.228	n
11437at7041	0.657	n
11439at7041	0.999	n
11442at7041	0.999	n
11443at7041	0.7	n
11444at7041	0.79	n
11445at7041	0.284	n
11453at7041	0.79	n
11454at7041	0.999	n
11457at7041	0.79	n
11458at7041	0.368	n
1145at7041	0.401	n
11461at7041	0	y
11462at7041	0.753	n
11463at7041	0.823	n
11464at7041	0.999	n
11470at7041	0.679	n
11472at7041	0.657	n
11476at7041	0.679	n
11477at7041	0.68	n
11478at7041	0.823	n
1147at7041	0.204	n
11483at7041	0.195	n
11485at7041	0.915	n
11490at7041	0.741	n
11496at7041	0.577	n
11497at7041	0.999	n
11498at7041	0.239	n
11499at7041	0.999	n
11500at7041	0.999	n
11501at7041	0.679	n
11502at7041	0.999	n
11503at7041	0.657	n
11505at7041	0.198	n
11506at7041	0.397	n
11508at7041	0.256	n
11510at7041	0.059	n
11512at7041	0.459	n
11514at7041	0.737	n
11515at7041	0.999	n
11516at7041	0.258	n
11526at7041	0.679	n
11528at7041	0.999	n
11531at7041	0.823	n
11532at7041	0.495	n
11533at7041	0.214	n
11535at7041	0.699	n
11537at7041	0.999	n
11538at7041	0.999	n
11543at7041	0.79	n
11545at7041	0.248	n
11546at7041	0.679	n
11550at7041	0.198	n
11556at7041	0.452	n
11563at7041	0.79	n
11565at7041	0.79	n
11574at7041	0.999	n
11576at7041	0.79	n
11577at7041	0.679	n
11584at7041	0.823	n
11590at7041	0.414	n
11592at7041	0.679	n
11594at7041	0.577	n
11598at7041	0.999	n
11599at7041	0.753	n
1159at7041	0.181	n
11602at7041	0.823	n
11606at7041	0.45	n
11609at7041	0.012	y
1160at7041	0.679	n
11610at7041	0.005	y
11611at7041	0.741	n
11614at7041	0.46	n
11624at7041	0.468	n
11629at7041	0.04	y
1162at7041	0.495	n
11633at7041	0.606	n
11640at7041	0.79	n
11643at7041	0	y
11644at7041	0.999	n
11645at7041	0.525	n
1164at7041	0.45	n
11653at7041	0.131	n
11658at7041	0.151	n
11659at7041	0.79	n
11662at7041	0.397	n
11663at7041	0.79	n
11666at7041	0.505	n
11669at7041	0.883	n
11670at7041	0.16	n
11673at7041	0.999	n
11677at7041	0.577	n
11678at7041	0.679	n
11682at7041	0.199	n
11686at7041	0.823	n
11688at7041	0.053	n
11689at7041	0.999	n
11691at7041	0.036	y
11693at7041	0.999	n
11696at7041	0.171	n
11698at7041	0.397	n
1169at7041	0.39	n
11702at7041	0.61	n
11704at7041	0.999	n
11707at7041	0.999	n
11708at7041	0.79	n
11710at7041	0.185	n
11712at7041	0.015	y
11715at7041	0.395	n
11718at7041	0.15	n
11721at7041	0.305	n
11722at7041	0.823	n
11725at7041	0.307	n
11728at7041	0.123	n
11730at7041	0.577	n
11731at7041	0.422	n
11742at7041	0.6	n
11748at7041	0.414	n
11750at7041	0.199	n
11751at7041	0.999	n
11752at7041	0.741	n
11753at7041	0.753	n
11755at7041	0.753	n
11757at7041	0.823	n
11758at7041	0.79	n
11759at7041	0.514	n
11764at7041	0.16	n
11766at7041	0.249	n
11767at7041	0.018	y
11771at7041	0.79	n
11774at7041	0.79	n
11783at7041	0.7	n
11785at7041	0.753	n
11789at7041	0.999	n
1178at7041	0.679	n
11792at7041	0.657	n
11796at7041	0.058	n
11797at7041	0.577	n
11798at7041	0.823	n
117at7041	0.657	n
11800at7041	0.505	n
11801at7041	0.037	y
11802at7041	0.79	n
11803at7041	0.79	n
11805at7041	0	y
11806at7041	0.999	n
11807at7041	0.999	n
11809at7041	0.915	n
11813at7041	0.999	n
11818at7041	0.999	n
11819at7041	0.999	n
11820at7041	0.999	n
11821at7041	0.051	n
1182at7041	0.346	n
11830at7041	0.509	n
11838at7041	0.999	n
11849at7041	0.79	n
11851at7041	0.999	n
11855at7041	0.753	n
11857at7041	0.999	n
11859at7041	0.525	n
1185at7041	0.34	n
11860at7041	0.004	y
11862at7041	0.823	n
11863at7041	0.999	n
11866at7041	0.086	n
1186at7041	0.13	n
11872at7041	0.79	n
11876at7041	0.484	n
11878at7041	0.308	n
11879at7041	0.256	n
11883at7041	0.468	n
11884at7041	0.436	n
11889at7041	0	y
11890at7041	0.736	n
11895at7041	0.18	n
11896at7041	0.999	n
11897at7041	0.999	n
11898at7041	0.79	n
