Description	OGID	110193_0	115357_0	116153_0	1629725_0	166361_0	217634_0	224129_0	41139_0	41895_0	50390_0	7048_0	7054_0	7070_0	7539_0	77166_0
None	10000at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10006at7041	2	2	2	1	4	3	5	2	2	4	2	6	2	2	2
None	10007at7041	1	1	2	1	1	1	0	1	1	1	1	1	1	1	2
None	10008at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	1000at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10010at7041	1	3	2	1	4	2	1	2	1	1	1	5	2	3	1
None	10018at7041	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2
None	1001at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10021at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10023at7041	1	1	1	1	1	1	2	1	1	2	1	1	1	0	1
None	10025at7041	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1
None	10026at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10027at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10031at7041	2	1	1	2	1	1	1	1	1	3	1	1	1	1	1
None	10037at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10038at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	1003at7041	0	2	1	1	1	1	1	1	1	2	1	1	1	1	1
None	10041at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10044at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
None	10050at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10053at7041	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1
None	10066at7041	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10067at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10068at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10074at7041	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2
None	10077at7041	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3
None	10078at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10079at7041	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
None	10086at7041	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1
None	10095at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	100at7041	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10100at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10103at7041	1	1	3	0	1	1	1	1	2	1	1	1	2	1	1
None	10105at7041	1	1	1	1	1	1	1	1	1	4	4	2	1	1	1
None	10106at7041	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
None	10108at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
None	1011at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
None	10122at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
None	10124at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10125at7041	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2
None	10127at7041	1	1	1	0	2	1	1	1	1	1	2	2	1	2	1
None	10129at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10132at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	10135at7041	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1
None	10139at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10152at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
None	10154at7041	1	1	1	1	4	1	2	1	1	1	2	1	1	1	1
None	10155at7041	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1
None	10157at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	1015at7041	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1
None	10160at7041	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1
None	10161at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1
None	10162at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
None	10167at7041	1	1	2	2	1	1	1	1	1	2	1	2	1	2	1
None	10169at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	1016at7041	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1
None	10170at7041	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
None	10174at7041	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10181at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10186at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
None	1018at7041	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10201at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2
None	10206at7041	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
None	10208at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10212at7041	1	2	1	0	1	1	1	2	1	1	1	1	1	1	2
None	10213at7041	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1
None	1021at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
None	10220at7041	2	1	4	1	1	1	1	1	1	1	1	2	1	2	3
None	10225at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
None	10228at7041	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1
None	10231at7041	5	2	3	1	2	2	0	2	3	4	2	5	3	3	3
None	10233at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10238at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	1023at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10241at7041	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
None	10244at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	10247at7041	0	11	1	1	1	1	1	1	1	1	1	1	1	2	1
None	10252at7041	2	1	2	0	1	2	2	1	2	1	2	2	2	1	2
None	10256at7041	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
None	10257at7041	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
None	10261at7041	1	2	1	0	1	1	1	1	2	1	3	1	2	1	1
None	10266at7041	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1
None	10268at7041	1	1	1	1	2	1	1	1	1	3	2	1	2	1	1
None	10270at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
None	1027at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10280at7041	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1
None	10281at7041	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1
None	10282at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10283at7041	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
None	10284at7041	2	1	1	0	1	2	1	1	1	1	1	1	2	1	1
None	10287at7041	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
None	10288at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	1028at7041	1	1	1	0	1	1	1	1	1	1	2	2	1	1	1
None	10290at7041	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1
None	102at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10301at7041	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1
None	10302at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	1030at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10310at7041	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1
None	10311at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
None	10315at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10319at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10325at7041	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
None	10334at7041	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2
None	10337at7041	10	3	2	5	8	1	0	5	5	4	2	13	3	4	2
None	10338at7041	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1
None	10340at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10346at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	10347at7041	1	1	1	0	1	1	1	1	1	2	2	1	1	1	1
None	10349at7041	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
None	10353at7041	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1
None	10356at7041	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1
None	10359at7041	1	1	2	1	1	2	0	1	1	1	2	1	1	1	1
None	10372at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
